age,gender,job_role,years_of_experience,work_type,hours_worked_per_week,number_of_virtual_meetings,work_life_balance_rating,stress_level,productivity_change,social_isolation_rating,satisfaction_with_remote_work,company_support_for_remote_work,degree_of_remote_support,degree_of_social_isolation,degree_of_work-life_balance
40,Female,Data Scientist,3,Remote,52,4,1,Medium,Increase,3,Satisfied,2,Low,Medium,Low
59,Non-binary,Software Engineer,22,Hybrid,46,11,5,Medium,No Change,4,Unsatisfied,5,High,High,High
27,Male,Software Engineer,20,Onsite,32,8,4,High,Increase,3,Unsatisfied,3,Medium,Medium,High
42,Non-binary,Data Scientist,6,Onsite,54,7,3,Medium,Decrease,5,Satisfied,4,High,High,Medium
56,Prefer not to say,Data Scientist,9,Hybrid,24,4,2,High,Decrease,2,Unsatisfied,4,High,Low,Low
33,Non-binary,Software Engineer,17,Remote,48,3,3,High,Decrease,4,Satisfied,2,Low,High,Medium
36,Prefer not to say,Project Manager,23,Remote,59,11,3,High,Decrease,5,Neutral,3,Medium,High,Medium
45,Non-binary,Data Scientist,20,Onsite,37,8,3,Low,Decrease,5,Neutral,5,High,High,Medium
49,Non-binary,Software Engineer,30,Remote,36,6,1,High,No Change,3,Satisfied,2,Low,Medium,Low
59,Male,Software Engineer,13,Remote,59,4,3,Medium,Decrease,4,Neutral,1,Low,High,Medium
49,Male,Project Manager,23,Onsite,21,14,4,High,No Change,4,Neutral,3,Medium,High,High
36,Non-binary,Project Manager,30,Onsite,24,12,3,High,Decrease,4,Unsatisfied,4,High,High,Medium
53,Female,Project Manager,31,Onsite,56,4,4,Low,No Change,4,Unsatisfied,4,High,High,High
59,Male,Software Engineer,34,Remote,25,15,2,High,No Change,3,Satisfied,1,Low,Medium,Low
22,Female,Data Scientist,22,Onsite,20,11,1,Low,No Change,5,Neutral,2,Low,High,Low
45,Prefer not to say,Project Manager,29,Remote,20,14,2,Medium,Decrease,5,Satisfied,5,High,High,Low
48,Male,Software Engineer,27,Remote,26,9,3,Medium,No Change,5,Neutral,4,High,High,Medium
30,Non-binary,Data Scientist,22,Remote,44,15,4,High,Decrease,1,Neutral,5,High,Low,High
53,Male,Project Manager,14,Onsite,29,13,2,Low,No Change,1,Unsatisfied,5,High,Low,Low
54,Prefer not to say,Project Manager,26,Remote,58,6,3,High,Increase,3,Unsatisfied,3,Medium,Medium,Medium
33,Male,Data Scientist,33,Remote,35,15,1,Medium,Decrease,1,Unsatisfied,5,High,Low,Low
35,Male,Project Manager,11,Onsite,37,3,4,Medium,No Change,1,Satisfied,3,Medium,Low,High
42,Female,Software Engineer,3,Onsite,26,14,3,Medium,Decrease,2,Satisfied,2,Low,Low,Medium
60,Prefer not to say,Project Manager,34,Onsite,46,15,2,Medium,No Change,1,Neutral,1,Low,Low,Low
26,Female,Software Engineer,5,Hybrid,55,6,1,Medium,Decrease,4,Satisfied,1,Low,High,Low
30,Non-binary,Project Manager,8,Hybrid,47,12,3,Low,Increase,3,Neutral,5,High,Medium,Medium
42,Male,Software Engineer,14,Remote,48,13,5,Low,Increase,4,Neutral,5,High,High,High
26,Prefer not to say,Data Scientist,17,Remote,57,13,2,Medium,No Change,1,Satisfied,5,High,Low,Low
25,Non-binary,Project Manager,20,Hybrid,28,4,3,Medium,No Change,3,Satisfied,2,Low,Medium,Medium
22,Female,Software Engineer,5,Onsite,31,15,3,Medium,No Change,2,Satisfied,5,High,Low,Medium
60,Prefer not to say,Data Scientist,18,Hybrid,37,0,4,Medium,No Change,2,Unsatisfied,2,Low,Low,High
45,Non-binary,Software Engineer,6,Hybrid,46,3,1,Medium,Increase,3,Satisfied,2,Low,Medium,Low
23,Non-binary,Software Engineer,29,Hybrid,53,7,3,High,Decrease,1,Neutral,1,Low,Low,Medium
38,Prefer not to say,Project Manager,35,Onsite,57,10,2,Medium,No Change,3,Neutral,3,Medium,Medium,Low
29,Male,Data Scientist,15,Remote,51,5,2,High,Increase,2,Neutral,1,Low,Low,Low
27,Male,Project Manager,21,Hybrid,21,7,5,Low,No Change,4,Unsatisfied,3,Medium,High,High
54,Female,Data Scientist,5,Hybrid,21,10,3,High,Decrease,4,Satisfied,4,High,High,Medium
42,Non-binary,Software Engineer,33,Onsite,44,9,4,High,Increase,3,Neutral,2,Low,Medium,High
26,Female,Project Manager,15,Hybrid,43,6,4,High,Increase,5,Unsatisfied,3,Medium,High,High
55,Prefer not to say,Project Manager,10,Onsite,27,0,1,Low,Decrease,1,Satisfied,1,Low,Low,Low
22,Prefer not to say,Data Scientist,26,Hybrid,43,5,1,Medium,Increase,2,Unsatisfied,2,Low,Low,Low
57,Female,Data Scientist,2,Onsite,57,4,4,Medium,No Change,4,Unsatisfied,2,Low,High,High
22,Female,Software Engineer,9,Onsite,60,3,1,High,Decrease,3,Satisfied,5,High,Medium,Low
41,Male,Data Scientist,31,Onsite,29,0,5,Medium,Increase,3,Satisfied,5,High,Medium,High
46,Non-binary,Data Scientist,34,Remote,54,12,4,High,Decrease,2,Satisfied,4,High,Low,High
60,Non-binary,Project Manager,11,Onsite,31,11,5,High,Decrease,2,Neutral,4,High,Low,High
44,Female,Project Manager,2,Remote,54,8,5,Low,Decrease,1,Satisfied,3,Medium,Low,High
35,Male,Data Scientist,31,Hybrid,33,11,1,High,Decrease,5,Neutral,5,High,High,Low
31,Prefer not to say,Data Scientist,19,Onsite,21,15,1,Low,No Change,4,Satisfied,5,High,High,Low
53,Male,Project Manager,12,Hybrid,45,10,2,Medium,Decrease,3,Satisfied,4,High,Medium,Low
50,Male,Software Engineer,18,Hybrid,60,12,4,High,Increase,4,Satisfied,5,High,High,High
43,Non-binary,Data Scientist,18,Onsite,60,2,3,High,Increase,3,Neutral,3,Medium,Medium,Medium
44,Prefer not to say,Software Engineer,27,Hybrid,44,2,2,High,Decrease,2,Satisfied,5,High,Low,Low
50,Prefer not to say,Software Engineer,2,Remote,50,2,4,Medium,No Change,1,Satisfied,2,Low,Low,High
36,Male,Data Scientist,4,Remote,22,7,5,Low,No Change,1,Neutral,5,High,Low,High
34,Female,Data Scientist,29,Hybrid,29,13,3,High,Increase,5,Unsatisfied,5,High,High,Medium
45,Prefer not to say,Data Scientist,21,Onsite,53,0,3,Low,Decrease,1,Neutral,5,High,Low,Medium
34,Prefer not to say,Project Manager,5,Onsite,44,14,3,Medium,Increase,5,Satisfied,3,Medium,High,Medium
58,Female,Data Scientist,25,Remote,42,13,2,High,Increase,5,Satisfied,3,Medium,High,Low
38,Female,Data Scientist,1,Hybrid,22,4,2,Medium,Increase,5,Satisfied,3,Medium,High,Low
40,Prefer not to say,Project Manager,27,Hybrid,34,13,2,Medium,Decrease,2,Unsatisfied,5,High,Low,Low
45,Prefer not to say,Project Manager,29,Onsite,51,13,2,High,Decrease,2,Neutral,5,High,Low,Low
50,Male,Software Engineer,35,Onsite,30,10,2,High,No Change,3,Unsatisfied,1,Low,Medium,Low
53,Prefer not to say,Data Scientist,27,Hybrid,60,1,3,Low,Increase,5,Unsatisfied,4,High,High,Medium
51,Female,Project Manager,21,Remote,34,0,5,High,Decrease,2,Unsatisfied,2,Low,Low,High
44,Male,Data Scientist,14,Remote,26,9,2,High,No Change,4,Neutral,5,High,High,Low
57,Non-binary,Data Scientist,34,Remote,30,11,3,High,Increase,3,Unsatisfied,5,High,Medium,Medium
49,Non-binary,Project Manager,11,Hybrid,48,3,5,Low,Decrease,5,Satisfied,1,Low,High,High
