department,gender,age,job_title,years_at_company,education_level,performance_score,monthly_salary,work_hours_per_week,projects_handled,overtime_hours,sick_days,work_type,training_hours,promotions,employee_satisfaction_score,resigned,motivation_score
IT,Male,55,Specialist,2,High School,5,6750.0,33,32,22,2,Onsite,66,0,2.63,False,3.07
IT,Male,43,Manager,8,High School,3,7800.0,46,31,8,0,Remote,95,0,2.77,False,2.9
IT,Male,37,Technician,1,Bachelor,5,5250.0,55,20,29,2,Onsite,27,0,4.46,False,3.14
IT,Male,48,Specialist,2,Bachelor,1,4950.0,46,7,1,1,Onsite,6,1,2.66,False,1.98
IT,Female,42,Developer,1,High School,1,5500.0,53,20,13,8,Remote,75,1,4.49,False,3.13
IT,Female,33,Consultant,4,High School,1,6050.0,54,31,11,3,Onsite,48,1,3.63,True,2.64
IT,Male,38,Consultant,8,PhD,4,7700.0,54,44,17,3,Onsite,81,1,4.2,False,3.87
IT,Male,28,Engineer,3,High School,3,7800.0,46,4,12,7,Onsite,36,2,1.39,False,2.96
IT,Female,31,Technician,7,Master,1,3850.0,59,3,13,0,Hybrid,78,2,4.75,False,3.73
IT,Female,45,Analyst,3,Bachelor,2,4800.0,57,28,26,2,Hybrid,85,0,1.48,False,2.23
IT,Female,56,Specialist,7,Master,5,6750.0,53,19,22,4,Onsite,61,0,2.51,True,2.99
IT,Female,52,Developer,5,Bachelor,1,5500.0,44,40,28,14,Hybrid,56,0,3.23,False,2.12
IT,Female,47,Analyst,2,Bachelor,2,4800.0,38,44,4,3,Hybrid,31,2,1.04,False,2.57
IT,Female,32,Specialist,2,Bachelor,4,6300.0,55,46,26,11,Onsite,87,2,4.82,False,4.58
IT,Male,35,Consultant,6,Bachelor,1,6050.0,59,44,23,4,Onsite,25,0,3.76,False,1.94
IT,Male,52,Manager,4,Master,4,8400.0,39,30,29,7,Onsite,18,1,2.68,False,2.85
IT,Female,34,Technician,6,PhD,5,5250.0,40,24,17,6,Onsite,4,0,4.18,False,2.84
